commune,commune_node
2B143,3399045921
2B145,860175700
2B147,1216751376
2B148,1811471804
2B149,3698847686
2B150,485660730
2B152,538347785
2B153,297445321
2B155,5662766694
2B156,340923256
2B157,6481696081
2B159,1705509195
2B161,2996438820
2B162,301194808
2B164,4243508788
2B165,486160675
2B166,5310005243
2B167,990364872
2B168,4791190548
2B169,1437206254
2B170,3756222222
2B171,255876109
2B172,82570106
2B173,340368414
2B175,340418067
2B176,1390179145
2B177,3662791716
2B178,2779409122
2B179,6486673087
2B180,343087658
2B182,6341245236
2B183,1157488788
2B184,905793653
2B185,3701361359
2B187,1397683822
2B188,61900291
2B190,4866728189
2B192,860174837
2B193,59744590
2B194,21104389
2B195,2996189489
2B199,2218315253
2B201,925359784
2B202,4241884618
2B205,5863531348
2B206,3296846919
2B207,3080331135
2B208,338415840
2B210,5359195099
2B213,6481696155
2B214,860174759
2B216,6485634211
2B217,2234794338
2B218,2975186721
2B219,3114474574
2B220,1652702024
2B221,21103421
2B222,5787224376
2B223,5678357310
2B224,2206487097
2B225,338422233
2B226,925502743
2B227,6486167637
2B229,82575574
2B230,5494346474
2B231,439654254
2B233,64919362
2B234,297324479
2B235,341063330
2B236,6538181496
2B238,82574374
2B239,1465071475
2B241,6282467210
2B242,5613793835
2B243,497011447
2B244,4569463649
2B245,3484341765
2B246,6281966731
2B248,1022867277
2B250,15587764
2B251,347483993
2B252,338531008
2B255,497011063
2B256,3060223833
2B257,4790282038
2B260,82574770
2B261,851558708
2B263,990221965
2B264,1215488177
2B265,2424074705
2B267,5843826960
2B273,1390179792
2B274,336538049
2B275,6482602012
2B277,349147945
2B280,5843831649
2B281,2309921133
2B283,6418220164
2B286,1941330971
2B287,6340646565
2B289,411264310
2B290,3405672903
2B291,1390178124
2B292,3431812066
2B293,21104541
2B296,5737945533
2B297,338865179
2B298,2207522308
2B299,338864287
2B301,337246032
2B302,4865082492
2B303,2016706383
2B304,6277501049
2B305,60370500
2B306,410792911
2B307,3459077463
2B309,2205958295
2B311,338458321
2B313,6111659936
2B314,337259412
2B315,6483899558
2B316,486534654
2B317,1039373370
2B318,338482918
2B319,5187630233
2B320,337689728
2B321,21103773
2B327,4152859940
2B328,5838579826
2B329,6272298466
2B332,337246816
2B333,553329736
2B334,6485634552
2B335,21104276
2B337,336586165
2B338,2695616394
2B339,4839004614
2B340,2997375180
2B341,6286905402
2B342,339917140
2B343,5418349380
2B344,2992759275
2B346,3987991151
2B347,990222306
2B350,15587764
2B352,5604396406
2B353,2563190912
2B354,256000118
2B355,1824501235
2B356,2695616150
2B361,485965683
2B364,2695616298
2B365,778113902
2B366,6005578304
