,DEPCOM,MACROZONE,Macro_agre,NOM,POP2010,POP2011
594,78165,SQY,,Les Clayes-sous-Bois,17553,17678
595,78168,SQY,,Coigni?res,4527,4476
596,78171,78,,Cond?-sur-Vesgre,1139,1149
597,78172,78,,Conflans-Sainte-Honorine,35380,35582
598,78185,78,,Courgent,378,387
599,78188,78,,Cravent,414,423
600,78189,78,,Crespi?res,1574,1568
601,78190,78,,Croissy-sur-Seine,10048,10060
602,78192,78,,Dammartin-en-Serve,1028,1055
603,78193,78,,Dampierre-en-Yvelines,1113,1110
604,78194,78,,Dannemarie,242,243
605,78196,78,,Davron,340,328
606,78202,78,,Drocourt,505,522
607,78206,78,,Ecquevilly,3931,3937
608,78208,SQY,,?lancourt,26829,26389
609,78209,78,,?manc?,850,859
610,78217,78,,?p?ne,6503,6473
611,78220,78,,Les Essarts-le-Roi,6318,6298
612,78224,78,,L' ?tang-la-Ville,4769,4729
613,78227,78,,?vecquemont,786,788
614,78230,78,,La Falaise,618,607
615,78231,78,,Favrieux,148,149
616,78233,78,,Feucherolles,2908,2847
617,78234,78,,Flacourt,140,137
618,78236,78,,Flexanville,574,581
619,78237,78,,Flins-Neuve-?glise,164,163
620,78238,78,,Flins-sur-Seine,2426,2389
621,78239,78,,Follainville-Dennemont,1846,1851
622,78242,78,,Fontenay-le-Fleury,12732,12981
623,78245,78,,Fontenay-Mauvoisin,418,412
624,78246,78,,Fontenay-Saint-P?re,995,988
625,78251,78,,Fourqueux,4085,4095
626,78255,78,,Freneuse,3930,3933
627,78261,78,,Gaillon-sur-Montcient,665,668
628,78262,78,,Galluis,1142,1140
629,78263,78,,Gambais,2466,2445
630,78264,78,,Gambaiseuil,69,72
631,78265,78,,Garanci?res,2382,2395
632,78267,78,,Gargenville,6770,6811
633,78269,78,,Gazeran,1238,1256
634,78276,78,,Gommecourt,659,666
635,78278,78,,Goupilli?res,460,480
636,78281,78,,Goussonville,617,615
637,78283,78,,Grandchamp,309,313
638,78285,78,,Gressey,541,542
639,78289,78,,Grosrouvre,933,949
640,78290,78,,Guernes,1011,1010
641,78291,78,,Guerville,2079,2109
642,78296,78,,Guitrancourt,645,651
643,78297,SQY,,Guyancourt,27966,28245
644,78299,78,,Hardricourt,2083,2076
645,78300,78,,Hargeville,397,409
646,78302,78,,La Hauteville,176,175
647,78305,78,,Herbeville,287,265
648,78307,78,,Hermeray,948,956
649,78310,78,,Houdan,3289,3337
650,78311,78,,Houilles,31557,31952
651,78314,78,,Issou,4539,4552
652,78317,78,,Jambville,809,826
653,78320,78,,Jeufosse,427,428
654,78321,78,,Jouars-Pontchartrain,5267,5297
655,78322,78,,Jouy-en-Josas,8187,8211
656,78324,78,,Jouy-Mauvoisin,553,553
657,78325,78,,Jumeauville,592,584
658,78327,78,,Juziers,3773,3781
659,78329,78,,Lainville-en-Vexin,812,828
660,78334,78,,L?vis-Saint-Nom,1705,1708
661,78335,78,,Limay,16302,16304
662,78337,78,,Limetz-Villez,1891,1904
663,78343,78,,Les Loges-en-Josas,1548,1546
664,78344,78,,Lommoye,644,647
665,78346,78,,Longnes,1467,1455
666,78349,78,,Longvilliers,516,510
667,78350,78,,Louveciennes,7245,7186
668,78354,78,,Magnanville,5846,5904
669,78356,SQY,,Magny-les-Hameaux,9027,9100
670,78358,78,,Maisons-Laffitte,22817,23125
671,78361,78,,Mantes-la-Jolie,42969,42727
672,78362,78,,Mantes-la-Ville,19234,19839
673,78364,78,,Marcq,707,711
674,78366,78,,Mareil-le-Guyon,401,385
675,78367,78,,Mareil-Marly,3517,3518
676,78368,78,,Mareil-sur-Mauldre,1731,1734
677,78372,78,,Marly-le-Roi,16614,16645
678,78380,78,,Maule,5801,5764
679,78381,78,,Maulette,756,796
680,78382,78,,Maurecourt,4302,4328
681,78383,SQY,,Maurepas,18679,18928
682,78384,78,,M?dan,1456,1436
683,78385,78,,M?nerville,202,205
684,78389,78,,M?r?,1700,1708
685,78391,78,,M?ricourt,391,386
686,78396,78,,Le Mesnil-le-Roi,6415,6408
687,78397,78,,Le Mesnil-Saint-Denis,6629,6611
688,78398,78,,Les Mesnuls,874,863
689,78401,78,,Meulan-en-Yvelines,8855,8921
690,78402,78,,M?zi?res-sur-Seine,3526,3556
691,78403,78,,M?zy-sur-Seine,1949,1964
692,78404,78,,Millemont,251,248
693,78406,78,,Milon-la-Chapelle,311,295
694,78407,78,,Mittainville,613,603
695,78410,78,,Moisson,924,927
696,78413,78,,Mondreville,369,386
697,78415,78,,Montainville,561,549
698,78416,78,,Montalet-le-Bois,327,334
699,78417,78,,Montchauvet,288,281
700,78418,78,,Montesson,15193,15270
701,78420,78,,Montfort-l'Amaury,3138,3127
702,78423,SQY,,Montigny-le-Bretonneux,33337,33567
703,78431,78,,Morainvilliers,2399,2473
704,78437,78,,Mousseaux-sur-Seine,613,617
705,78439,78,,Mulcent,113,108
706,78440,78,,Les Mureaux,30859,30739
707,78442,78,,Neauphle-le-Ch?teau,3011,3028
708,78443,78,,Neauphle-le-Vieux,751,811
709,78444,78,,Neauphlette,890,881
710,78451,78,,N?zel,1042,1070
711,78455,78,,Noisy-le-Roi,7811,7765
712,78460,78,,Oinville-sur-Montcient,1115,1111
713,78464,78,,Orcemont,847,843
714,78465,78,,Orgerus,2358,2354
715,78466,78,,Orgeval,5855,5919
716,78470,78,,Orphin,913,911
717,78472,78,,Orsonville,332,331
718,78474,78,,Orvilliers,683,702
719,78475,78,,Osmoy,382,378
720,78478,78,,Paray-Douaville,242,242
721,78481,78,,Le Pecq,16496,16675
722,78484,78,,Perdreauville,622,630
723,78486,78,,Le Perray-en-Yvelines,6600,6669
724,78490,SQY,,Plaisir,30958,31074
725,78497,78,,Poigny-la-For?t,1034,1017
726,78498,78,,Poissy,37680,37662
727,78499,78,,Ponth?vrard,601,602
728,78501,78,,Porcheville,2832,3071
729,78502,78,,Le Port-Marly,4803,4946
730,78503,78,,Port-Villez,246,244
731,78505,78,,Prunay-le-Temple,394,404
732,78506,78,,Prunay-en-Yvelines,813,816
733,78513,78,,La Queue-les-Yvelines,2161,2164
734,78516,78,,Raizeux,847,864
735,78517,78,,Rambouillet,26159,25860
736,78518,78,,Rennemoulin,111,112
737,78520,78,,Richebourg,1510,1527
738,78522,78,,Rochefort-en-Yvelines,960,937
739,78524,78,,Rocquencourt,3215,3217
740,78528,78,,Rolleboise,412,406
741,78530,78,,Rosay,385,382
742,78531,78,,Rosny-sur-Seine,5521,5614
743,78536,78,,Sailly,379,380
744,78537,78,,Saint-Arnoult-en-Yvelines,6150,6154
745,78545,78,,Saint-Cyr-l'?cole,17401,17655
746,78548,78,,Saint-Forget,474,463
747,78550,78,,Saint-Germain-de-la-Grange,1824,1819
748,78551,78,,Saint-Germain-en-Laye,40481,40653
749,78557,78,,Saint-Hilarion,901,897
750,78558,78,,Saint-Illiers-la-Ville,321,342
751,78559,78,,Saint-Illiers-le-Bois,453,462
752,78561,78,,Saint-Lambert,418,436
753,78562,78,,Saint-L?ger-en-Yvelines,1484,1491
754,78564,78,,Saint-Martin-de-Br?thencourt,635,634
755,78565,78,,Saint-Martin-des-Champs,321,317
756,78567,78,,Saint-Martin-la-Garenne,920,931
757,78569,78,,Sainte-Mesme,942,929
758,78571,78,,Saint-Nom-la-Bret?che,5147,5164
759,78575,78,,Saint-R?my-l?s-Chevreuse,7922,7826
760,78576,78,,Saint-R?my-l'Honor?,1384,1379
761,78586,78,,Sartrouville,51150,51431
762,78588,78,,Saulx-Marchais,895,902
763,78590,78,,Senlisse,541,538
764,78591,78,,Septeuil,2201,2225
765,78597,78,,Soindres,597,608
766,78601,78,,Sonchamp,1577,1589
767,78605,78,,Tacoigni?res,1049,1058
768,78606,78,,Le Tartre-Gaudran,31,31
769,78608,78,,Le Tertre-Saint-Denis,114,114
770,78609,78,,Tessancourt-sur-Aubette,947,947
771,78615,78,,Thiverval-Grignon,1006,1030
772,78616,78,,Thoiry,1139,1156
773,78618,78,,Tilly,542,541
