stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87394171,"Gare de La Villette-St-Prest",,48.48274299,1.52292035,,,1,
StopArea:OCE87394007,"Gare de Chartres",,48.44820324,1.48122558,,,1,
StopArea:OCE87394205,"Gare de Amilly-Ouerray",,48.43844966,1.38955717,,,1,
StopArea:OCE87394213,"Gare de St-Aubin-St-Luperce",,48.44745576,1.33370047,,,1,
StopArea:OCE87394221,"Gare de Courville-sur-Eure",,48.45135871,1.23493366,,,1,
StopArea:OCE87394247,"Gare de Pontgouin",,48.47785438,1.14144593,,,1,
StopArea:OCE87394254,"Gare de La Loupe",,48.47384487,1.01087386,,,1,
StopArea:OCE87394270,"Gare de Bretoncelles",,48.43273017,0.89235062,,,1,
StopArea:OCE87394288,"Gare de Condé-sur-Huisne",,48.38327217,0.84876307,,,1,
StopArea:OCE87394296,"Gare de Nogent-le-Rotrou",,48.32549567,0.81005826,,,1,
StopArea:OCE87396333,"Gare de Le Theil-la-Rouge",,48.26712921,0.69427347,,,1,
StopArea:OCE87396325,"Gare de La Ferté-Bernard",,48.18648653,0.63932529,,,1,
StopArea:OCE87396317,"Gare de Sceaux-Boessé",,48.12223389,0.57227123,,,1,
StopArea:OCE87396309,"Gare de Connerré-Beillé",,48.07375173,0.48694021,,,1,
StopArea:OCE87396291,"Gare de Montfort-le-Gesnois",,48.04063626,0.40632339,,,1,
StopArea:OCE87396283,"Gare de St-Mars-la-Brière",,48.0285199,0.36582575,,,1,
StopArea:OCE87396275,"Gare de Champagné",,48.0197513,0.3357037,,,1,
StopArea:OCE87271007,"Gare de Paris-Nord",,48.88013842,2.35488709,,,1,
StopArea:OCE87276279,"Gare de Orry-la-Ville-Coye",,49.13871284,2.48959351,,,1,
StopArea:OCE87276113,"Gare de Chantilly-Gouvieux",,49.18697889,2.45982656,,,1,
StopArea:OCE87276006,"Gare de Creil",,49.263769,2.46917978,,,1,
StopArea:OCE87276204,"Gare de Laigneville",,49.29266401,2.44943342,,,1,
StopArea:OCE87276212,"Gare de Liancourt-Rantigny",,49.32475812,2.44529777,,,1,
StopArea:OCE87313304,"Gare de Clermont-de-l'Oise",,49.38533751,2.41720269,,,1,
StopArea:OCE87313296,"Gare de Avrechy",,49.44452551,2.41790117,,,1,
StopArea:OCE87313270,"Gare de St-Just-SNCF",,49.5034958,2.42922091,,,1,
StopArea:OCE87313247,"Gare de Breteuil-Embranchement",,49.6264071,2.38471716,,,1,
